Футбол. Россия. Премьер-Лига
2020-07-01;20:00:00;Волунтари;Чиндия Тарговиште;2.0;3.4;3.9
2020-07-02;20:00:00;Виторул Констанца;Динамо Бухарест;1.95;3.4;4.0
2020-07-03;20:00:00;Газ Метан Медиас;Университатя Крайова КСУ;6.4;3.75;1.6
2020-07-04;20:00:00;Стяуа Бухарест;Ботошани;1.8;3.6;4.5
2020-07-05;13:00:00;Политехника Яссы;Шепши Сфынту Георге;2.7;3.2;2.7
2020-07-05;17:00:00;Академика Клинчени;Динамо Бухарест;3.25;3.2;2.3
2020-07-05;20:00:00;Астра Джурджу;ЧФР Клуж;5.0;3.15;1.85
Футбол. Румыния. 2-я лига. Серия 1. Плей-офф
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-04;11:00:00;Миовени;Рапид Бухарест;2.8;3.15;2.45
2020-07-04;11:00:00;УТА Арад;Петролул Плоешти;2.2;3.25;3.15
2020-07-04;11:00:00;Туррис Олтул Турну Магуреле;Арджеш Питешти;2.4;3.2;2.85
Футбол. Словакия. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;21:00:00;Дунайска Стреда;Слован Братислава;2.7;3.5;2.5
2020-07-04;19:00:00;Тренчин;Середь;1.5;4.3;6.3
2020-07-04;19:00:00;Дунайска Стреда;Жилина;1.8;3.8;4.2
2020-07-04;19:00:00;Нитра;Похроние;2.35;3.4;3.0
2020-07-04;19:00:00;Сеница;Злате Моравце;2.2;3.4;3.25
2020-07-04;19:00:00;Слован Братислава;Земплин Михаловце;1.2;7.3;11.5
2020-07-04;19:00:00;Спартак Трнава;Ружомберок;2.25;3.4;3.15
Футбол. Турция. 1-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;17:30:00;Кечиоренгюджю;Менемен;2.15;3.3;3.2
2020-06-30;19:00:00;Аданаспор;Алтынорду;2.9;3.4;2.25
2020-06-30;20:00:00;Гиресунспор;Бурсаспор;2.6;3.35;2.5
Футбол. Финляндия. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;18:30:00;Лахти;ХИК Хельсинки;6.5;4.05;1.55
2020-07-01;18:30:00;Хака;Хонка;3.5;3.4;2.1
2020-07-01;18:30:00;ХИФК;КуПС;3.8;3.5;2.0
2020-07-01;18:30:00;Ильвес;Мариехамн;1.65;3.7;5.5
2020-07-01;18:30:00;СЯК Сейнайоки;ТПС Турку;2.0;3.35;3.9
2020-07-02;18:00:00;Интер Турку;РоПС;1.55;3.85;6.5
Футбол. Хорватия. Премьер-Лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;19:55:00;Локомотив Загреб;Вараждин;1.37;4.5;9.5
2020-06-30;19:55:00;Славен Белупо;Истра 1961 Пула;1.87;3.6;4.1
2020-06-30;22:05:00;Горица ХНК;Хайдук Сплит;3.1;3.25;2.35
2020-07-01;19:55:00;Интер Запрешич;Динамо Загреб;11.5;5.6;1.27
Футбол. Черногория. 1-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;21:00:00;Будучность;Петровац;1.28;5.0;10.0
2020-06-30;21:00:00;Грбаль;Ком Подгорица;2.45;3.1;2.85
